# Published source data: YMnO3 antiferromagnetic Z-mode spin precession at about 30 K.
# Tzschaschel, Satoh & Fiebig, Nature Communications 11, 6142 (2020). DOI: 10.1038/s41467-020-19749-y.
# Meaning: time-resolved Faraday rotation after impulsive optical excitation. The damped oscillation is the antiferromagnetic Z-mode precession.
# Paper model: Phi(t)=A0+A1*exp(-t/t1)+A2*exp(-t/tau)*sin(omega*t+phi0). The configured Data Tool session selects t>=5 ps, after the short pump/probe and thermal transient, and fits the damped-sine term plus a constant baseline.
# Paper text reports an exemplary period of about 18.2 ps and initial phase about 0.1 rad. Source-data temperature scans near 30 K give relaxation times about 145-150 ps with fit standard errors about 4 ps.
# Independent equal-scatter fit for t>=5 ps with Data Tool's damped-sine form gives T=18.17863 ps, tau=148.9254 ps, phase=0.08937 rad; residual scatter=1.0446e-4 arb. u.
# The source workbook does not provide point-by-point measurement uncertainties; parameter errors are therefore estimated from residual scatter under the equal-scatter model.
Delay (ps),Faraday rotation (arb. u.)
57.89728,0.000506
57.99732,0.0006
58.09737,0.000713
58.19741,0.000835
58.29746,0.000956
58.3975,0.001063
58.49755,0.001145
58.59759,0.001192
58.69764,0.0012
58.79768,0.001171
58.89773,0.001106
58.99777,0.001013
59.09782,0.000898
59.19786,0.000775
59.29791,0.000656
59.39795,0.00055
59.498,0.000468
59.59804,0.000419
59.69809,0.00041
59.79813,0.000439
59.89818,0.000504
59.99822,0.000598
60.09827,0.000711
60.19831,0.000833
60.29836,0.000954
60.3984,0.001061
60.49845,0.001143
60.59849,0.00119
60.69854,0.001198
60.79858,0.001169
60.89863,0.001104
60.99867,0.001011
61.09872,0.000896
61.19876,0.000773
61.29881,0.000654
61.39885,0.000548
61.4989,0.000466
61.59894,0.000417
61.69899,0.000408
61.79903,0.000437
61.89908,0.000502
61.99912,0.000596
62.09917,0.000709
62.19921,0.000831
62.29926,0.000952
62.3993,0.001059
62.49935,0.001141
62.59939,0.001188
62.69944,0.001196
62.79948,0.001167
62.89953,0.001102
62.99957,0.001009
63.09962,0.000894
63.19966,0.000771
63.29971,0.000652
63.39975,0.000546
63.4998,0.000464
63.59984,0.000415
63.69989,0.000406
63.79993,0.000435
63.89998,0.0005
64.00002,0.000594
65.00023,0.00073
66.00044,0.00095
67.00065,0.00117
68.00086,0.00129
69.00107,0.00121
70.00128,0.00098
71.00149,0.00067
72.0017,0.00048
73.00191,0.00046
74.00212,0.00065
75.00233,0.00096
76.00254,0.00122
77.00275,0.00128
78.00296,0.00109
79.00317,0.00075
80.00338,0.00049
81.00359,0.00046
82.0038,0.00068
83.00401,0.00102
84.00422,0.00125
85.00443,0.00123
86.00464,0.00096
87.00485,0.00061
88.00506,0.00045
89.00527,0.00056
90.00548,0.00088
91.00569,0.00118
92.0059,0.00126
93.00611,0.00107
94.00632,0.00072
95.00653,0.00048
96.00674,0.0005
97.00695,0.00077
98.00716,0.0011
99.00737,0.00126
100.00758,0.00114
101.00779,0.00081
102.008,0.00052
103.00821,0.00046
104.00842,0.00067
105.00863,0.001
106.00884,0.00123
107.00905,0.0012
108.00926,0.00092
109.00947,0.00059
110.00968,0.00045
111.00989,0.00058
112.0101,0.0009
113.01031,0.00118
114.01052,0.00124
115.01073,0.00104
116.01094,0.0007
117.01115,0.00048
118.01136,0.00051
119.01157,0.00078
120.01178,0.00109
121.01199,0.00123
122.0122,0.0011
123.01241,0.00079
124.01262,0.00052
125.01283,0.00048
126.01304,0.0007
127.01325,0.00101
128.01346,0.00121
129.01367,0.00115
130.01388,0.00088
131.01409,0.00057
132.0143,0.00047
133.01451,0.00064
134.01472,0.00095
135.01493,0.00119
136.01514,0.00118
137.01535,0.00094
138.01556,0.00063
139.01577,0.00049
140.01598,0.00061
141.01619,0.0009
142.0164,0.00115
143.01661,0.00119
144.01682,0.00099
145.01703,0.00068
146.01724,0.0005
147.01745,0.00058
148.01766,0.00085
149.01787,0.00112
150.01808,0.00119
151.01829,0.00103
152.0185,0.00073
153.01871,0.00052
154.01892,0.00057
155.01913,0.00081
156.01934,0.00108
157.01955,0.00118
158.01976,0.00106
159.01997,0.00077
160.02018,0.00053
161.02039,0.00055
162.0206,0.00078
163.02081,0.00105
164.02102,0.00117
165.02123,0.00108
166.02144,0.00081
167.02165,0.00055
168.02186,0.00054
169.02207,0.00075
170.02228,0.00102
171.02249,0.00116
172.0227,0.0011
173.02291,0.00084
174.02312,0.00057
175.02333,0.00053
176.02354,0.00073
177.02375,0.001
178.02396,0.00115
